code,drug_name,matched_product_name_en,matched_product_name_ar,matched_store_product_id,match_score,verified,match_method
89661,MERALGO 20 CAPS,MERALGO 20 CAPS,ميرالجو 20 اقراص,1663429.0,100.0,algo_match,brand_index
89115,MERCAVA 30 SAC,MERCAVA 30 SACHET,ميركافا 30 اكياس,2250532.0,90.3,algo_match,brand_index
92092,MERCAVA SACHET,MERCAVA 30 SACHET,ميركافا 30 اكياس,2250532.0,90.3,algo_match,brand_index
59940,MERIOFERT 150 IU AMP,,,,,,no_match
90130,MERONEM 1000MG 10 VIAL.,MERONEM 1000 MG I.V.VIAL,ميرونيم 1000 مجم امبول وريد,2437476.0,82.6,ai_confirmed,ai_verified
23026,MERONEM 500MG 1VIAL,,,,,,no_match
90758,MEROPENEM-EVA PHARMA 1 GM I.V. VIAL,,,,,,no_match
30931,MERTI 30 CAPS,,,,,,no_match
84455,MERVA-D3 30 TABS,MERVA D 3 30 TAB,ميرفا د 3 30 اقراص,2625617.0,80.0,ai_confirmed,ai_verified
32033,MESOCEPT 50/5MG I.M. AMP.,,,,,,no_match
meso,MESOESTETIC IMP++++,,,,,,no_match
61038,MESPORIN 1 GM عضل,,,,,,no_match
79348,MESTAL MASSAGE GEL 80GM,MESTAL MASSAGE GEL 80 GM,مستال 80 جم جل,2511148.0,89.4,ai_confirmed,ai_verified
56113,MESTINON 60 MG 150 TAB,MESTINON 60 MG 150 TAB.,مستينون 60 مجم 150 اقراص,2331902.0,100.0,algo_match,brand_index
60243,METACARDIA MR 30 TAB,METACARDIA 20 MG 30 F.C. TAB.,ميتاكارديا 20 مجم 30 اقراص,2521463.0,80.9,ai_confirmed,ai_verified
55786,METACARDIA 30 TAB,METACARDIA 20 MG 30 F.C. TAB.,ميتاكارديا 20 مجم 30 اقراص,2521463.0,100.0,algo_match,token_set_ratio
87877,METAPSIN 10 TABLETS,METAPSIN 10 TABS,ميتابسين 10 اقراص,2146216.0,91.4,algo_match,brand_index
92651,METAPSIN PLUS 10 TABLETS,METAPSIN PLUS 10 TABS,ميتابسين بلس 10 اقراص,2509277.0,93.3,algo_match,brand_index
89041,METFORMIN-EVA XR 500 MG 30 TABS.,METFORMIN EVA XR 500 MG 30 TABS,ميتفورمين 500 مجم اكس ار 30 اقراص ايفا,1516061.0,87.1,ai_confirmed,ai_verified
86699,METFORMIN XR EVA PHARMA 1000 MG 30 TAB,,,,,,no_match
81086,METHABIOGEN 8MG TABS,METHABIOGEN 8 MG 30 SCORED TABS.,ميثابيوجين 8 مجم 30 اقراص,2145978.0,88.9,ai_confirmed,ai_verified
2779,METHERGIN 30TAB,,,,,,no_match
90350,METHOBAMOL 20TAB,METHOBAMOL 20 F.C. TABS.,ميثوبامول 20 اقراص,2421442.0,84.2,ai_confirmed,ai_verified
85591,METHOQUICK 500/50 MG 30 TABS,,,,,,no_match
75282,METHORELAX 30 TABS,METHORELAX 30 TAB.,ميثوريلاكس 3 شريط,2682613.0,97.1,algo_match,brand_index
77492,METHYCOBAL 500UG 10-AMP,,,,,,no_match
